Movie,Release,id_genre,id_distributor,Gross
Spider-Man,2002-05-03,gen1,dist4,403706375.0
The Lord of the Rings: The Two Towers,2001-12-19,gen1,dist8,341630076.6666667
Star Wars Ep. II: Attack of the Clones,2002-05-16,gen1,dist5,308555078.75
Harry Potter and the Chamber of Secrets,2002-11-15,gen1,dist2,262110931.5
My Big Fat Greek Wedding,2002-04-19,gen7,dist31,241438208.0
Signs,2002-09-27,gen3,dist148,227967964.5
Austin Powers in Goldmember,2002-07-25,gen4,dist8,213244522.33333334
Men in Black 2,2002-07-03,gen2,dist4,190418803.0
Ice Age,2002-03-15,gen1,dist5,176387405.0
Chicago,2002-12-27,gen8,dist12,170687518.0
Catch Me if You Can,2002-12-25,gen3,dist11,164611075.5
Die Another Day,2002-11-22,gen2,dist9,160942139.0
Scooby-Doo,2002-06-14,gen1,dist2,153294164.0
Lilo & Stitch,2002-06-21,gen1,dist1,145782932.5
xXx,2002-08-09,gen2,dist4,142049588.0
The Santa Clause 2,2002-11-01,gen1,dist1,139231090.5
Minority Report,2002-06-21,gen2,dist5,132056855.33333333
The Ring,2002-10-18,gen6,dist11,129111078.5
Sweet Home Alabama,2002-09-27,gen4,dist1,127218745.0
Mr. Deeds,2002-06-28,gen4,dist4,126293452.0
The Bourne Identity,2002-06-14,gen5,dist3,121597442.0
The Sum of All Fears,2002-05-31,gen2,dist6,118761797.33333333
8 Mile,2002-11-08,gen3,dist3,116737488.0
Road to Perdition,2002-07-12,gen3,dist11,104254638.0
Panic Room,2002-03-29,gen5,dist4,95852850.5
Maid in Manhattan,2002-12-13,gen7,dist4,93972060.5
Two Weeks Notice,2002-12-20,gen7,dist2,93354884.5
Space Station,2002-04-19,gen10,dist47,93307506.5
Red Dragon,2002-10-04,gen5,dist3,93052659.0
The Scorpion King,1994-06-15,gen1,dist1,90891384.66666667
Spy Kids 2: The Island of Lost Dreams,2002-08-07,gen1,dist27,85846362.5
Blade 2,2002-03-22,gen2,dist8,82012603.5
Snow Dogs,2002-01-18,gen1,dist1,81161626.0
We Were Soldiers,2002-03-01,gen3,dist6,78121877.33333333
Gangs of New York,2002-12-20,gen3,dist12,77771250.0
Barbershop,2002-09-13,gen4,dist9,75781873.5
The Rookie,2002-03-29,gen3,dist1,75600072.0
Spirit: Stallion of the Cimarron,2002-05-24,gen1,dist11,73247713.5
John Q.,2002-02-15,gen5,dist8,71391716.5
The Divine Secrets of the Ya-Ya Sisterhood,2002-06-07,gen4,dist2,69592780.0
Insomnia,2002-05-24,gen5,dist2,67309347.5
Changing Lanes,2002-04-12,gen5,dist6,66804398.0
About Schmidt,2002-12-13,gen3,dist8,65010752.0
Stuart Little 2,2002-07-19,gen1,dist4,64956806.0
Jackass: The Movie,2002-10-25,gen10,dist6,64268812.0
The Time Machine,2002-03-08,gen1,dist11,56734044.0
Drumline,2002-12-13,gen4,dist5,56398673.0
