Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Star Wars: Episode VII - The Force Awakens,"$2,068,223,624","$936,662,225",45.30%,"$1,131,561,399",54.70%
2,Jurassic World,"$1,670,400,637","$652,270,625",39%,"$1,018,130,012",61%
3,Furious 7,"$1,515,047,671","$353,007,020",23.30%,"$1,162,040,651",76.70%
4,Avengers: Age of Ultron,"$1,402,805,868","$459,005,868",32.70%,"$943,800,000",67.30%
5,Minions,"$1,159,398,397","$336,045,770",29%,"$823,352,627",71%
6,Spectre,"$880,674,609","$200,074,609",22.70%,"$680,600,000",77.30%
7,Inside Out,"$857,611,174","$356,461,711",41.60%,"$501,149,463",58.40%
8,Mission: Impossible - Rogue Nation,"$682,714,267","$195,042,377",28.60%,"$487,671,890",71.40%
9,The Hunger Games: Mockingjay - Part 2,"$653,428,261","$281,723,902",43.10%,"$371,704,359",56.90%
10,The Martian,"$630,161,890","$228,433,663",36.20%,"$401,728,227",63.80%
11,Fifty Shades of Grey,"$569,651,467","$166,167,230",29.20%,"$403,484,237",70.80%
12,Cinderella,"$542,351,353","$201,151,353",37.10%,"$341,200,000",62.90%
13,The Revenant,"$532,950,503","$183,637,894",34.50%,"$349,312,609",65.50%
14,Ant-Man,"$519,311,965","$180,202,163",34.70%,"$339,109,802",65.30%
15,Hotel Transylvania 2,"$474,800,000","$169,700,110",35.70%,"$305,099,890",64.30%
16,San Andreas,"$473,990,832","$155,190,832",32.70%,"$318,800,000",67.30%
17,Terminator Genisys,"$440,603,537","$89,760,956",20.40%,"$350,842,581",79.60%
18,Kingsman: The Secret Service,"$414,351,546","$128,261,724",31%,"$286,089,822",69%
19,Monster Hunt,"$387,053,506","$32,766",<0.1%,"$387,020,740",100%
20,Home,"$386,041,607","$177,397,510",46%,"$208,644,097",54%
21,Mad Max: Fury Road,"$374,736,354","$153,636,354",41%,"$221,100,000",59%
22,The Good Dinosaur,"$332,207,671","$123,087,120",37.10%,"$209,120,551",62.90%
23,Taken 3,"$326,479,141","$89,256,424",27.30%,"$237,222,717",72.70%
24,The SpongeBob Movie: Sponge Out of Water,"$325,186,032","$162,994,032",50.10%,"$162,192,000",49.90%
25,Maze Runner: The Scorch Trials,"$312,296,056","$81,697,192",26.20%,"$230,598,864",73.80%
26,The Divergent Series: Insurgent,"$297,002,527","$130,179,072",43.80%,"$166,823,455",56.20%
27,Pitch Perfect 2,"$287,144,079","$184,296,230",64.20%,"$102,847,849",35.80%
28,Mojin: The Lost Legend,"$259,368,448","$1,243,810",0.50%,"$258,124,638",99.50%
29,Lost in Hong Kong,"$256,283,912","$1,302,281",0.50%,"$254,981,631",99.50%
30,The Peanuts Movie,"$246,233,113","$130,178,411",52.90%,"$116,054,702",47.10%
31,Pixels,"$244,874,809","$78,747,585",32.20%,"$166,127,224",67.80%
32,Daddy's Home,"$242,786,137","$150,357,137",61.90%,"$92,429,000",38.10%
33,Spy,"$235,666,219","$110,825,712",47%,"$124,840,507",53%
34,Alvin and the Chipmunks: The Road Chip,"$234,798,636","$85,886,987",36.60%,"$148,911,649",63.40%
35,Goodbye Mr. Loser,"$228,122,928","$1,293,626",0.60%,"$226,829,302",99.40%
36,Ted 2,"$215,863,606","$81,476,385",37.70%,"$134,387,221",62.30%
37,Tomorrowland,"$209,035,668","$93,436,322",44.70%,"$115,599,346",55.30%
38,Everest,"$203,427,584","$43,482,270",21.40%,"$159,945,314",78.60%
39,Straight Outta Compton,"$201,634,991","$161,197,785",79.90%,"$40,437,206",20.10%
40,The Intern,"$194,564,672","$75,764,672",38.90%,"$118,800,000",61.10%
41,Jian Bing Man,"$186,683,536",-,-,"$186,683,536",100%
42,Jupiter Ascending,"$183,887,723","$47,387,723",25.80%,"$136,500,000",74.20%
43,Creed,"$173,567,581","$109,767,581",63.20%,"$63,800,000",36.80%
44,Fantastic Four,"$167,882,881","$56,117,548",33.40%,"$111,765,333",66.60%
45,Bridge of Spies,"$165,478,348","$72,313,754",43.70%,"$93,164,594",56.30%
46,From Vegas to Macau II,"$163,877,532",-,-,"$163,877,532",100%
47,Focus,"$158,762,963","$53,862,963",33.90%,"$104,900,000",66.10%
48,Goosebumps,"$158,260,952","$80,080,379",50.60%,"$78,180,573",49.40%
49,Ip Man 3,"$156,954,938","$2,679,437",1.70%,"$154,275,501",98.30%
50,The Hateful Eight,"$155,760,117","$54,117,416",34.70%,"$101,642,701",65.30%
51,Monkey King: Hero Is Back,"$153,262,397",-,-,"$153,262,397",100%
52,Gods of Egypt,"$150,680,864","$31,153,464",20.70%,"$119,527,400",79.30%
53,The Last Witch Hunter,"$146,936,910","$27,367,660",18.60%,"$119,569,250",81.40%
54,Trainwreck,"$140,795,793","$110,212,700",78.30%,"$30,583,093",21.70%
55,Mr. Six,"$139,191,345","$1,415,450",1%,"$137,775,895",99%
56,Point Break,"$133,718,711","$28,782,481",21.50%,"$104,936,230",78.50%
57,The Big Short,"$133,440,870","$70,259,870",52.70%,"$63,181,000",47.30%
58,Pan,"$128,388,320","$35,088,320",27.30%,"$93,300,000",72.70%
59,Detective Chinatown,"$125,842,935","$474,252",0.40%,"$125,368,683",99.60%
60,Wolf Totem,"$125,837,070","$210,591",0.20%,"$125,626,479",99.80%
61,Ride Along 2,"$124,605,297","$91,221,830",73.20%,"$33,383,467",26.80%
62,Dragon Blade,"$122,593,849","$74,068",<0.1%,"$122,519,781",99.90%
63,Magic Mike XXL,"$117,813,057","$66,013,057",56%,"$51,800,000",44%
64,Insidious: Chapter 3,"$112,983,889","$52,218,558",46.20%,"$60,765,331",53.80%
65,Get Hard,"$111,711,453","$90,411,453",80.90%,"$21,300,000",19.10%
66,The 5th Wave,"$109,906,372","$34,916,787",31.80%,"$74,989,585",68.20%
67,Paul Blart: Mall Cop 2,"$107,588,225","$71,038,190",66%,"$36,550,035",34%
68,Vacation,"$107,228,221","$58,884,188",54.90%,"$48,344,033",45.10%
69,The Man from U.N.C.L.E.,"$107,045,109","$45,445,109",42.50%,"$61,600,000",57.50%
70,Chronicles of the Ghostly Tribe,"$106,380,000",-,-,"$106,380,000",100%
71,Shaun the Sheep Movie,"$106,209,378","$19,375,982",18.20%,"$86,833,396",81.80%
72,Sisters,"$105,011,053","$87,044,645",82.90%,"$17,966,408",17.10%
73,Chappie,"$102,811,889","$31,569,268",30.70%,"$71,242,621",69.30%
74,Joy,"$101,134,059","$56,451,232",55.80%,"$44,682,827",44.20%
75,Black Mass,"$99,775,678","$62,575,678",62.70%,"$37,200,000",37.30%
76,Spotlight,"$98,690,254","$45,055,776",45.70%,"$53,634,478",54.30%
77,Devil and Angel,"$98,599,942","$131,058",0.10%,"$98,468,884",99.90%
78,The Visit,"$98,450,062","$65,206,105",66.20%,"$33,243,957",33.80%
79,The Little Prince,"$97,571,250","$1,339,152",1.40%,"$96,232,098",98.60%
80,Assassination,"$96,119,773","$1,904,682",2%,"$94,215,091",98%
81,Poltergeist,"$95,437,994","$47,425,125",49.70%,"$48,012,869",50.30%
82,Veteran,"$94,393,020","$1,200,627",1.30%,"$93,192,393",98.70%
83,In the Heart of the Sea,"$93,920,758","$25,020,758",26.60%,"$68,900,000",73.40%
84,Kill Zone 2,"$93,638,358","$11,998",<0.1%,"$93,626,360",100%
85,Southpaw,"$91,970,827","$52,421,953",57%,"$39,548,874",43%
