Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Harry Potter and the Sorcerer's Stone,"$974,755,371","$317,575,550",32.60%,"$657,179,821",67.40%
2,The Lord of the Rings: The Fellowship of the Ring,"$880,839,846","$313,364,114",35.60%,"$567,475,732",64.40%
3,"Monsters, Inc.","$528,773,250","$255,873,250",48.40%,"$272,900,000",51.60%
4,Shrek,"$484,409,218","$267,665,011",55.30%,"$216,744,207",44.70%
5,Ocean's Eleven,"$450,717,150","$183,417,150",40.70%,"$267,300,000",59.30%
6,Pearl Harbor,"$449,220,945","$198,542,554",44.20%,"$250,678,391",55.80%
7,The Mummy Returns,"$433,013,274","$202,019,785",46.70%,"$230,993,489",53.30%
8,Jurassic Park III,"$368,780,809","$181,171,875",49.10%,"$187,608,934",50.90%
9,Planet of the Apes,"$362,211,740","$180,011,740",49.70%,"$182,200,000",50.30%
10,Hannibal,"$351,692,268","$165,092,268",46.90%,"$186,600,000",53.10%
11,Rush Hour 2,"$347,325,802","$226,164,286",65.10%,"$121,161,516",34.90%
12,A Beautiful Mind,"$313,542,341","$170,742,341",54.50%,"$142,800,000",45.50%
13,American Pie 2,"$287,553,595","$145,103,595",50.50%,"$142,450,000",49.50%
14,Bridget Jones's Diary,"$281,929,795","$71,543,427",25.40%,"$210,386,368",74.60%
15,Spirited Away,"$274,925,095","$10,055,859",3.70%,"$264,869,236",96.30%
16,Lara Croft: Tomb Raider,"$274,703,340","$131,168,070",47.70%,"$143,535,270",52.30%
17,A.I. Artificial Intelligence,"$235,926,552","$78,616,689",33.30%,"$157,309,863",66.70%
18,The Others,"$209,947,037","$96,522,687",46%,"$113,424,350",54%
19,The Fast and the Furious,"$207,283,925","$144,533,925",69.70%,"$62,750,000",30.30%
20,Vanilla Sky,"$203,388,341","$100,618,344",49.50%,"$102,769,997",50.50%
21,Cats & Dogs,"$200,687,492","$93,385,515",46.50%,"$107,301,977",53.50%
22,Atlantis: The Lost Empire,"$186,053,725","$84,056,472",45.20%,"$101,997,253",54.80%
23,Moulin Rouge!,"$179,213,434","$57,386,607",32%,"$121,826,827",68%
24,Dr. Dolittle 2,"$176,104,344","$112,952,899",64.10%,"$63,151,445",35.90%
25,Amélie,"$173,921,954","$33,225,499",19.10%,"$140,696,455",80.90%
26,Black Hawk Down,"$172,989,651","$108,638,745",62.80%,"$64,350,906",37.20%
27,The Princess Diaries,"$165,335,153","$108,248,956",65.50%,"$57,086,197",34.50%
28,Spy Kids,"$147,934,180","$112,719,001",76.20%,"$35,215,179",23.80%
29,The Mexican,"$147,845,033","$66,845,033",45.20%,"$81,000,000",54.80%
