Rank,Movie,Distributor,Domestic,Opening,Max
1,Harry Potter and the Sorcerer’s Stone,Warner Bros.,"$317,871,467","$90,294,621","3,672"
2,The Lord of the Rings: The Fellowship of the Ring,New Line,"$315,544,750","$47,211,490","3,381"
3,"Monsters, Inc.",Walt Disney,"$290,149,425","$62,577,067","3,649"
4,Shrek,Dreamwork…,"$267,655,011","$42,347,760","3,715"
5,Rush Hour 2,New Line,"$226,164,286","$67,408,222","3,118"
6,The Mummy Returns,Universal,"$202,007,640","$68,139,035","3,553"
7,Pearl Harbor,Walt Disney,"$198,539,855","$59,078,912","3,255"
8,Ocean's Eleven,Warner Bros.,"$183,417,150","$38,107,822","3,075"
9,Jurassic Park III,Universal,"$181,166,115","$50,771,645","3,470"
10,Planet of the Apes,20th Cent…,"$180,011,740","$68,532,960","3,530"
11,A Beautiful Mind,Universal,"$170,708,996","$367,151","2,250"
12,Hannibal,MGM,"$165,092,266","$58,003,121","3,292"
13,American Pie 2,Universal,"$145,096,820","$45,117,985","3,157"
14,The Fast and the Furious,Universal,"$144,512,310","$40,089,015","2,905"
15,Lara Croft: Tomb Raider,Paramount…,"$131,144,183","$47,735,743","3,349"
16,Dr. Dolittle 2,20th Cent…,"$112,950,721","$25,037,039","3,067"
17,Spy Kids,Miramax/D…,"$112,692,062","$26,546,881","3,191"
18,Black Hawk Down,Sony Pict…,"$108,638,745","$179,823","3,143"
19,The Princess Diaries,Walt Disney,"$108,244,774","$22,862,269","2,749"
20,Vanilla Sky,Paramount…,"$100,614,858","$25,015,518","2,842"
21,The Others,Miramax,"$96,522,687","$14,089,952","2,843"
22,Legally Blonde,MGM,"$96,493,426","$20,377,426","2,725"
23,America's Sweethearts,Sony Pict…,"$93,607,673","$30,181,877","3,011"
24,Cats & Dogs,Warner Bros.,"$93,375,151","$21,707,617","3,040"
25,Save the Last Dance,Paramount…,"$91,038,276","$27,526,443","2,570"
26,Atlantis: The Lost Empire,Walt Disney,"$84,052,762","$329,011","3,071"
27,Jimmy Neutron: Boy Genius,Paramount…,"$80,936,232","$13,832,786","3,151"
28,Artificial Intelligence: AI,Warner Bros.,"$78,616,689","$29,352,630","3,242"
29,Training Day,Warner Bros.,"$76,261,036","$22,550,788","2,712"
30,Along Came a Spider,Paramount…,"$74,058,698","$16,712,407","2,573"
31,Bridget Jones's Diary,Miramax,"$71,500,556","$10,733,933","2,547"
32,Scary Movie 2,Miramax/D…,"$71,277,420","$20,503,356","3,220"
33,The Score,Paramount…,"$71,069,884","$19,018,807","2,211"
34,Shallow Hal,20th Cent…,"$70,836,296","$22,518,295","2,803"
35,Swordfish,Warner Bros.,"$69,772,969","$18,145,632","2,688"
36,The Mexican,Dreamwork…,"$66,808,615","$20,108,829","3,162"
37,Down to Earth,Paramount…,"$64,172,251","$20,027,309","2,524"
38,Spy Game,Universal,"$62,362,560","$21,689,125","2,770"
39,The Wedding Planner,Sony Pict…,"$60,400,856","$13,510,293","2,785"
40,Behind Enemy Lines,20th Cent…,"$58,855,732","$18,736,133","2,844"
41,Ali,Sony Pict…,"$58,183,966","$14,710,892","2,521"
42,Moulin Rouge,20th Cent…,"$57,386,369","$167,540","2,283"
43,Rat Race,Paramount…,"$56,607,223","$11,662,094","2,551"
44,A Knight’s Tale,Sony Pict…,"$56,083,966","$16,511,391","2,980"
45,The Animal,Sony Pict…,"$55,762,229","$19,610,520","2,788"
46,Don’t Say a Word,20th Cent…,"$54,997,476","$17,090,474","2,842"
