Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,The Lord of the Rings: The Return of the King,"$1,140,682,011","$377,027,325",33.10%,"$763,654,686",66.90%
2,Finding Nemo,"$871,014,978","$339,714,978",39%,"$531,300,000",61%
3,The Matrix Reloaded,"$739,412,035","$281,576,461",38.10%,"$457,835,574",61.90%
4,Pirates of the Caribbean: The Curse of the Black Pearl,"$654,264,015","$305,413,918",46.70%,"$348,850,097",53.30%
5,Bruce Almighty,"$484,592,874","$242,829,261",50.10%,"$241,763,613",49.90%
6,The Last Samurai,"$454,627,263","$111,127,263",24.40%,"$343,500,000",75.60%
7,Terminator 3: Rise of the Machines,"$433,371,112","$150,371,112",34.70%,"$283,000,000",65.30%
8,The Matrix Revolutions,"$427,343,298","$139,313,948",32.60%,"$288,029,350",67.40%
9,X2: X-Men United,"$407,711,549","$214,949,694",52.70%,"$192,761,855",47.30%
10,Bad Boys II,"$273,339,556","$138,608,444",50.70%,"$134,731,112",49.30%
11,Something's Gotta Give,"$265,328,738","$124,728,738",47%,"$140,600,000",53%
12,Charlie's Angels: Full Throttle,"$259,175,788","$100,830,111",38.90%,"$158,345,677",61.10%
13,The Village,"$256,697,520","$114,197,520",44.50%,"$142,500,000",55.50%
14,Brother Bear,"$250,397,798","$85,336,277",34.10%,"$165,061,521",65.90%
15,Hulk,"$245,285,165","$132,177,234",53.90%,"$113,107,931",46.10%
16,Love Actually,"$244,931,766","$59,696,144",24.40%,"$185,235,622",75.60%
17,2 Fast 2 Furious,"$236,350,661","$127,154,901",53.80%,"$109,195,760",46.20%
18,American Wedding,"$232,722,935","$104,565,114",44.90%,"$128,157,821",55.10%
19,Scary Movie 3,"$220,673,217","$110,003,217",49.80%,"$110,670,000",50.20%
20,Elf,"$220,443,451","$173,398,518",78.70%,"$47,044,933",21.30%
21,Master and Commander: The Far Side of the World,"$211,622,535","$93,927,920",44.40%,"$117,694,615",55.60%
22,S.W.A.T.,"$207,725,639","$116,934,650",56.30%,"$90,790,989",43.70%
23,Spy Kids 3: Game Over,"$197,011,982","$111,761,982",56.70%,"$85,250,000",43.30%
24,Anger Management,"$195,745,823","$135,645,823",69.30%,"$60,100,000",30.70%
25,Cheaper by the Dozen,"$190,212,113","$138,614,544",72.90%,"$51,597,569",27.10%
26,The Haunted Mansion,"$182,290,266","$75,847,266",41.60%,"$106,443,000",58.40%
27,Kill Bill: Vol. 1,"$180,899,045","$70,099,045",38.80%,"$110,800,000",61.20%
28,The League of Extraordinary Gentlemen,"$179,265,204","$66,465,204",37.10%,"$112,800,000",62.90%
29,Daredevil,"$179,179,718","$102,543,518",57.20%,"$76,636,200",42.80%
30,How to Lose a Guy in 10 Days,"$177,502,387","$105,813,373",59.60%,"$71,689,014",40.40%
31,The Italian Job,"$176,070,171","$106,128,601",60.30%,"$69,941,570",39.70%
32,Cold Mountain,"$173,013,509","$95,636,509",55.30%,"$77,377,000",44.70%
33,Bringing Down the House,"$164,729,679","$132,716,677",80.60%,"$32,013,002",19.40%
34,Daddy Day Care,"$164,433,867","$104,297,061",63.40%,"$60,136,806",36.60%
35,Freaky Friday,"$160,846,332","$110,230,332",68.50%,"$50,616,000",31.50%
36,Johnny English,"$160,466,000","$28,082,366",17.50%,"$132,383,634",82.50%
37,Lara Croft: Tomb Raider - The Cradle of Life,"$160,099,222","$65,660,196",41%,"$94,439,026",59%
38,Mystic River,"$156,595,191","$90,135,191",57.60%,"$66,460,000",42.40%
39,Bayside Shakedown 2,"$155,138,312",-,-,"$155,138,312",100%
40,Seabiscuit,"$148,336,445","$120,277,854",81.10%,"$28,058,591",18.90%
41,Gothika,"$141,591,324","$59,694,580",42.20%,"$81,896,744",57.80%
42,Mona Lisa Smile,"$141,337,989","$63,860,942",45.20%,"$77,477,047",54.80%
43,The Jungle Book 2,"$135,703,599","$47,901,582",35.30%,"$87,802,017",64.70%
44,The Cat in the Hat,"$133,960,541","$101,149,285",75.50%,"$32,811,256",24.50%
45,School of Rock,"$131,095,614","$81,261,177",62%,"$49,834,437",38%
46,"Legally Blonde 2: Red, White & Blonde","$124,914,842","$90,186,328",72.20%,"$34,728,514",27.80%
47,Big Fish,"$123,218,424","$66,809,693",54.20%,"$56,408,731",45.80%
48,Peter Pan,"$121,975,011","$48,462,608",39.70%,"$73,512,403",60.30%
49,Intolerable Cruelty,"$120,801,243","$35,327,628",29.20%,"$85,473,615",70.80%
50,Lost in Translation,"$118,685,453","$44,585,453",37.60%,"$74,100,000",62.40%
51,Paycheck,"$117,248,958","$53,790,451",45.90%,"$63,458,507",54.10%
52,Freddy vs. Jason,"$116,632,628","$82,622,655",70.80%,"$34,009,973",29.20%
53,The Texas Chainsaw Massacre,"$107,071,655","$80,571,655",75.30%,"$26,500,000",24.70%
54,Just Married,"$101,564,935","$56,127,162",55.30%,"$45,437,773",44.70%
55,The Recruit,"$101,191,884","$52,802,140",52.20%,"$48,389,744",47.80%
56,Once Upon a Time in Mexico,"$98,096,026","$56,359,780",57.50%,"$41,736,246",42.50%
57,Phone Booth,"$97,837,138","$46,566,212",47.60%,"$51,270,926",52.40%
58,Underworld,"$95,708,457","$51,970,690",54.30%,"$43,737,767",45.70%
59,Calendar Girls,"$93,400,759","$31,041,759",33.20%,"$62,359,000",66.80%
60,Final Destination 2,"$90,941,129","$46,961,214",51.60%,"$43,979,915",48.40%
61,Identity,"$90,259,536","$52,159,536",57.80%,"$38,100,000",42.20%
62,Kangaroo Jack,"$88,929,111","$66,934,963",75.30%,"$21,994,148",24.70%
63,Shanghai Knights,"$88,323,487","$60,476,872",68.50%,"$27,846,615",31.50%
64,Old School,"$87,135,520","$75,585,093",86.70%,"$11,550,427",13.30%
65,Tears of the Sun,"$86,468,162","$43,734,876",50.60%,"$42,733,286",49.40%
66,Sinbad: Legend of the Seven Seas,"$80,773,077","$26,483,452",32.80%,"$54,289,625",67.20%
67,The Rundown,"$80,657,921","$47,726,342",59.20%,"$32,931,579",40.80%
68,Runaway Jury,"$80,154,140","$49,443,628",61.70%,"$30,710,512",38.30%
69,Good Bye Lenin!,"$79,316,957","$4,064,200",5.10%,"$75,252,757",94.90%
70,Bad Santa,"$76,488,889","$60,060,328",78.50%,"$16,428,561",21.50%
71,Dreamcatcher,"$75,715,436","$33,715,436",44.50%,"$42,000,000",55.50%
72,The Core,"$73,498,611","$31,186,896",42.40%,"$42,311,715",57.60%
73,Holes,"$71,406,573","$67,406,573",94.40%,"$4,000,000",5.60%
74,Looney Tunes: Back in Action,"$68,514,844","$20,991,364",30.60%,"$47,523,480",69.40%
75,Open Range,"$68,296,293","$58,331,254",85.40%,"$9,965,039",14.60%
76,Stuck on You,"$65,784,503","$33,832,741",51.40%,"$31,951,762",48.60%
77,Matchstick Men,"$65,565,672","$36,906,460",56.30%,"$28,659,212",43.70%
78,Taxi 3,"$65,497,208","$497,208",0.80%,"$65,000,000",99.20%
79,Jeepers Creepers 2,"$63,102,666","$35,667,218",56.50%,"$27,435,448",43.50%
80,Piglet's Big Movie,"$62,870,546","$23,103,423",36.70%,"$39,767,123",63.30%
81,Honey,"$62,228,395","$30,308,417",48.70%,"$31,919,978",51.30%
82,21 Grams,"$60,427,839","$16,290,476",27%,"$44,137,363",73%
83,Under the Tuscan Sun,"$58,878,723","$43,610,723",74.10%,"$15,268,000",25.90%
