Rank,Movie,Distributor,Domestic,Opening,Max
1,Star Wars Ep. III: Revenge of the Sith,20th Cent…,"$380,270,577","$108,435,841","3,663"
2,"The Chronicles of Narnia: The Lion, the Witch a…",Walt Disney,"$291,710,957","$65,556,312","3,853"
3,Harry Potter and the Goblet of Fire,Warner Bros.,"$290,201,752","$102,685,961","3,858"
4,War of the Worlds,Paramount…,"$234,280,354","$64,878,725","3,910"
5,King Kong,Universal,"$218,080,025","$50,130,145","3,627"
6,Wedding Crashers,New Line,"$209,218,368","$33,900,720","3,131"
7,Charlie and the Chocolate Factory,Warner Bros.,"$206,459,076","$56,178,450","3,790"
8,Batman Begins,Warner Bros.,"$205,343,774","$48,745,440","3,858"
9,Madagascar,Dreamwork…,"$193,595,521","$47,224,594","4,142"
10,Mr. and Mrs. Smith,20th Cent…,"$186,336,279","$50,342,878","3,451"
11,Hitch,Sony Pict…,"$177,784,257","$43,142,214","3,575"
12,The Longest Yard,Paramount…,"$158,119,460","$47,606,480","3,654"
13,Fantastic Four,20th Cent…,"$154,696,080","$56,061,504","3,619"
14,Chicken Little,Walt Disney,"$135,386,665","$40,049,778","3,658"
15,Robots,20th Cent…,"$128,200,012","$36,045,301","3,776"
16,Walk the Line,20th Cent…,"$119,519,402","$22,347,341","3,160"
17,The Pacifier,Walt Disney,"$113,006,880","$30,552,694","3,181"
18,Fun With Dick And Jane,Sony Pict…,"$110,550,000","$14,383,515","3,239"
19,The 40 Year-old Virgin,Universal,"$109,449,237","$21,422,815","3,006"
20,Flightplan,Walt Disney,"$89,706,988","$24,629,938","3,424"
21,Saw II,Lionsgate,"$87,025,093","$31,725,652","2,949"
22,Brokeback Mountain,Focus Fea…,"$83,043,761","$547,425","2,089"
23,Monster-in-Law,New Line,"$82,931,301","$23,105,133","3,424"
24,Are We There Yet?,Sony Pict…,"$82,674,398","$18,575,214","2,810"
25,Cheaper by the Dozen 2,20th Cent…,"$82,571,173","$9,309,387","3,211"
26,The Dukes of Hazzard,Warner Bros.,"$80,270,227","$30,675,314","3,785"
27,La marche de l'empereur,Warner In…,"$77,437,223","$137,492","2,506"
28,Constantine,Warner Bros.,"$75,976,178","$29,769,098","3,006"
29,The Ring Two,Dreamwork…,"$75,941,727","$35,065,237","3,341"
30,The Exorcism of Emily Rose,Sony Pict…,"$75,072,454","$30,054,300","3,045"
31,Four Brothers,Paramount…,"$74,494,381","$21,176,925","2,649"
32,Sin City,Miramax/D…,"$74,103,820","$29,120,273","3,230"
33,The Interpreter,Universal,"$72,708,161","$22,822,455","2,815"
34,Guess Who,Sony Pict…,"$68,915,888","$20,671,446","3,147"
35,Sahara,Paramount…,"$68,671,925","$18,068,372","3,200"
36,Coach Carter,Paramount…,"$67,264,877","$24,182,960","2,574"
37,Herbie: Fully Loaded,Walt Disney,"$66,010,682","$12,709,221","3,521"
38,The Amityville Horror,Filmways …,"$65,233,369","$23,507,007","3,323"
39,Sky High,Walt Disney,"$63,939,454","$14,631,784","2,912"
40,Bewitched,Sony Pict…,"$63,313,159","$20,131,130","3,188"
41,Jarhead,Universal,"$62,647,540","$27,726,210","2,448"
42,Cinderella Man,Universal,"$61,649,911","$18,320,205","2,820"
43,The Family Stone,20th Cent…,"$60,062,868","$12,521,027","2,469"
44,Red Eye,Dreamwork…,"$57,891,803","$16,167,662","3,134"
45,Memoirs of a Geisha,Sony Pict…,"$57,010,853","$682,504","1,654"
46,White Noise,Universal,"$56,094,360","$24,113,565","2,279"
