Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Shrek 2,"$928,760,770","$441,226,247",47.50%,"$487,534,523",52.50%
2,Harry Potter and the Prisoner of Azkaban,"$795,634,069","$249,541,069",31.40%,"$546,093,000",68.60%
3,Spider-Man 2,"$788,618,317","$373,585,825",47.40%,"$415,032,492",52.60%
4,The Incredibles,"$631,442,092","$261,441,092",41.40%,"$370,001,000",58.60%
5,The Passion of the Christ,"$611,486,736","$370,274,604",60.60%,"$241,212,132",39.40%
6,The Day After Tomorrow,"$552,639,571","$186,740,799",33.80%,"$365,898,772",66.20%
7,Meet the Fockers,"$522,657,936","$279,261,160",53.40%,"$243,396,776",46.60%
8,Troy,"$497,409,852","$133,378,256",26.80%,"$364,031,596",73.20%
9,Shark Tale,"$374,583,879","$160,861,908",42.90%,"$213,721,971",57.10%
10,Ocean's Twelve,"$362,744,280","$125,544,280",34.60%,"$237,200,000",65.40%
11,"I, Robot","$353,133,898","$144,801,023",41%,"$208,332,875",59%
12,National Treasure,"$347,512,318","$173,008,894",49.80%,"$174,503,424",50.20%
13,Van Helsing,"$300,157,638","$120,177,084",40%,"$179,980,554",60%
14,The Bourne Supremacy,"$290,633,422","$176,241,941",60.60%,"$114,391,481",39.40%
15,The Polar Express,"$286,000,505","$162,775,358",56.90%,"$123,225,147",43.10%
16,Bridget Jones: The Edge of Reason,"$265,126,918","$40,226,215",15.20%,"$224,900,703",84.80%
17,Howl's Moving Castle,"$235,347,345","$4,711,096",2%,"$230,636,249",98%
18,Fahrenheit 9/11,"$222,446,882","$119,194,771",53.60%,"$103,252,111",46.40%
19,Collateral,"$220,239,925","$101,005,703",45.90%,"$119,234,222",54.10%
20,The Terminal,"$218,685,607","$77,872,883",35.60%,"$140,812,724",64.40%
21,Million Dollar Baby,"$216,763,646","$100,492,203",46.40%,"$116,271,443",53.60%
22,The Aviator,"$213,719,942","$102,610,330",48%,"$111,109,612",52%
23,A Series of Unfortunate Events,"$211,468,235","$118,634,549",56.10%,"$92,833,686",43.90%
24,King Arthur,"$203,567,857","$51,882,244",25.50%,"$151,685,613",74.50%
25,Garfield,"$203,172,417","$75,369,589",37.10%,"$127,802,828",62.90%
26,50 First Dates,"$198,413,428","$120,908,074",60.90%,"$77,505,354",39.10%
27,The Grudge,"$187,281,115","$110,359,362",58.90%,"$76,921,753",41.10%
28,Scooby-Doo 2: Monsters Unleashed,"$181,216,833","$84,216,833",46.50%,"$97,000,000",53.50%
29,Along Came Polly,"$178,311,729","$88,097,164",49.40%,"$90,214,565",50.60%
30,Alien vs. Predator,"$177,427,090","$80,282,231",45.20%,"$97,144,859",54.80%
31,Starsky & Hutch,"$170,268,750","$88,237,754",51.80%,"$82,030,996",48.20%
32,Shall We Dance,"$170,128,460","$57,890,460",34%,"$112,238,000",66%
33,Dodgeball: A True Underdog Story,"$168,423,227","$114,326,736",67.90%,"$54,096,491",32.10%
34,Alexander,"$167,298,192","$34,297,191",20.50%,"$133,001,001",79.50%
35,The Phantom of the Opera,"$154,648,887","$51,268,815",33.20%,"$103,380,072",66.80%
36,Kill Bill: Vol. 2,"$154,116,796","$66,208,183",43%,"$87,908,613",57%
37,Home on the Range,"$145,358,062","$50,030,461",34.40%,"$95,327,601",65.60%
38,The SpongeBob SquarePants Movie,"$140,192,993","$85,417,988",60.90%,"$54,775,005",39.10%
39,The Princess Diaries 2: Royal Engagement,"$134,734,481","$95,170,481",70.60%,"$39,564,000",29.40%
40,Blade: Trinity,"$131,883,935","$52,411,906",39.70%,"$79,472,029",60.30%
41,Man on Fire,"$130,834,852","$77,911,774",59.50%,"$52,923,078",40.50%
42,Mean Girls,"$130,125,829","$86,058,055",66.10%,"$44,067,774",33.90%
43,Resident Evil: Apocalypse,"$129,342,769","$51,201,453",39.60%,"$78,141,316",60.40%
44,Ray,"$123,971,376","$75,331,600",60.80%,"$48,639,776",39.20%
45,The Notebook,"$117,812,623","$81,001,787",68.80%,"$36,810,836",31.20%
46,The Forgotten,"$117,592,831","$67,133,509",57.10%,"$50,459,322",42.90%
47,Finding Neverland,"$116,650,613","$51,680,613",44.30%,"$64,970,000",55.70%
48,The Chronicles of Riddick,"$115,900,534","$57,761,012",49.80%,"$58,139,522",50.20%
49,Closer,"$115,505,027","$33,987,757",29.40%,"$81,517,270",70.60%
50,White Chicks,"$113,086,475","$70,831,760",62.60%,"$42,254,715",37.40%
51,Sideways,"$109,706,931","$71,503,593",65.20%,"$38,203,338",34.80%
52,Hidalgo,"$108,040,622","$67,303,450",62.30%,"$40,737,172",37.70%
53,The Stepford Wives,"$103,370,127","$59,484,742",57.50%,"$43,885,385",42.50%
54,Saw,"$103,096,345","$55,185,045",53.50%,"$47,911,300",46.50%
55,Dawn of the Dead,"$102,278,712","$59,020,957",57.70%,"$43,257,755",42.30%
56,Kung Fu Hustle,"$100,912,445","$17,108,591",17%,"$83,803,854",83%
57,Ladder 49,"$100,572,044","$74,541,707",74.10%,"$26,030,337",25.90%
58,Hellboy,"$99,318,987","$59,623,958",60%,"$39,695,029",40%
59,The Butterfly Effect,"$96,693,417","$57,938,693",59.90%,"$38,754,724",40.10%
60,Christmas with the Kranks,"$96,572,480","$73,780,539",76.40%,"$22,791,941",23.60%
61,13 Going on 30,"$96,455,697","$57,231,747",59.30%,"$39,223,950",40.70%
62,The Manchurian Candidate,"$96,105,910","$65,955,630",68.60%,"$30,150,280",31.40%
63,Secret Window,"$92,913,171","$48,022,900",51.70%,"$44,890,271",48.30%
64,House of Flying Daggers,"$92,863,945","$11,050,094",11.90%,"$81,813,851",88.10%
65,Downfall,"$92,181,574","$5,509,040",6%,"$86,672,534",94%
66,Anchorman: The Legend of Ron Burgundy,"$90,649,730","$85,288,303",94.10%,"$5,361,427",5.90%
67,Catwoman,"$82,102,379","$40,202,379",49%,"$41,900,000",51%
68,The Chorus,"$82,032,134","$2,087,128",2.50%,"$79,945,006",97.50%
69,Exorcist: The Beginning,"$78,110,021","$41,821,986",53.50%,"$36,288,035",46.50%
70,The Ladykillers,"$76,665,191","$39,799,191",51.90%,"$36,866,000",48.10%
71,(T)Raumschiff Surprise - Periode 1,"$76,341,401",-,-,"$76,341,401",100%
72,Tae Guk Gi: The Brotherhood of War,"$76,287,982","$1,111,061",1.50%,"$75,176,921",98.50%
73,Eternal Sunshine of the Spotless Mind,"$74,036,715","$34,400,301",46.50%,"$39,636,414",53.50%
74,Crying Out Love in the Center of the World,"$73,611,055",-,-,"$73,611,055",100%
75,Without a Paddle,"$73,029,190","$58,169,327",79.70%,"$14,859,863",20.30%
76,Around the World in 80 Days,"$72,178,895","$24,008,137",33.30%,"$48,170,758",66.70%
77,Anacondas: The Hunt for the Blood Orchid,"$70,992,898","$32,238,923",45.40%,"$38,753,975",54.60%
78,Taxi 2004 Re-release,"$70,778,329","$36,611,066",51.70%,"$34,167,263",48.30%
79,A Cinderella Story,"$70,067,909","$51,438,175",73.40%,"$18,629,734",26.60%
80,A Very Long Engagement,"$69,424,389","$6,524,389",9.40%,"$62,900,000",90.60%
81,Barbershop 2: Back in Business,"$65,991,448","$65,111,277",98.70%,"$880,171",1.30%
82,Taking Lives,"$65,470,529","$32,682,342",49.90%,"$32,788,187",50.10%
83,Miracle,"$64,445,708","$64,378,093",99.90%,"$67,615",0.10%
84,After the Sunset,"$62,657,868","$28,331,233",45.20%,"$34,326,635",54.80%
85,Two Brothers,"$62,172,050","$19,176,754",30.80%,"$42,995,296",69.20%
86,Friday Night Lights,"$61,950,770","$61,255,921",98.90%,"$694,849",1.10%
87,In Good Company,"$61,315,215","$45,806,659",74.70%,"$15,508,556",25.30%
88,Sky Captain and the World of Tomorrow,"$57,947,036","$37,762,677",65.20%,"$20,184,359",34.80%
89,Cellular,"$57,678,321","$32,003,620",55.50%,"$25,674,701",44.50%
90,The Motorcycle Diaries,"$57,663,224","$16,781,387",29.10%,"$40,881,837",70.90%
91,Seven Dwarves,"$57,410,311",-,-,"$57,410,311",100%
92,Walking Tall,"$57,223,890","$46,437,717",81.20%,"$10,786,173",18.80%
93,Spanglish,"$55,470,154","$42,726,869",77%,"$12,743,285",23%
94,The Punisher,"$54,700,105","$33,810,189",61.80%,"$20,889,916",38.20%
95,Open Water,"$54,683,487","$30,610,863",56%,"$24,072,624",44%
96,Team America: World Police,"$50,826,898","$32,786,074",64.50%,"$18,040,824",35.50%
