Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,The Avengers,"$1,518,812,988","$623,357,910",41%,"$895,455,078",59%
2,Skyfall,"$1,108,561,013","$304,360,277",27.50%,"$804,200,736",72.50%
3,The Dark Knight Rises,"$1,081,041,287","$448,139,099",41.50%,"$632,902,188",58.50%
4,The Hobbit: An Unexpected Journey,"$1,017,003,568","$303,003,568",29.80%,"$714,000,000",70.20%
5,Ice Age: Continental Drift,"$877,244,782","$161,321,843",18.40%,"$715,922,939",81.60%
6,The Twilight Saga: Breaking Dawn - Part 2,"$829,746,820","$292,324,737",35.20%,"$537,422,083",64.80%
7,The Amazing Spider-Man,"$757,930,663","$262,030,663",34.60%,"$495,900,000",65.40%
8,Madagascar 3: Europe's Most Wanted,"$746,921,274","$216,391,482",29%,"$530,529,792",71%
9,The Hunger Games,"$694,394,724","$408,010,692",58.80%,"$286,384,032",41.20%
10,Men in Black 3,"$654,213,485","$179,020,854",27.40%,"$475,192,631",72.60%
11,Life of Pi,"$609,016,565","$124,987,023",20.50%,"$484,029,542",79.50%
12,Ted,"$549,368,315","$218,815,487",39.80%,"$330,552,828",60.20%
13,Brave,"$538,983,207","$237,283,207",44%,"$301,700,000",56%
14,Wreck-It Ralph,"$471,222,889","$189,422,889",40.20%,"$281,800,000",59.80%
15,Les Misérables,"$442,299,309","$148,809,770",33.60%,"$293,489,539",66.40%
16,Django Unchained,"$425,368,238","$162,805,434",38.30%,"$262,562,804",61.70%
17,Prometheus,"$403,354,469","$126,477,084",31.40%,"$276,877,385",68.60%
18,Snow White and the Huntsman,"$396,592,829","$155,332,381",39.20%,"$241,260,448",60.80%
19,Taken 2,"$376,141,306","$139,854,287",37.20%,"$236,287,019",62.80%
20,Hotel Transylvania,"$358,375,603","$148,313,048",41.40%,"$210,062,555",58.60%
21,Titanic 2012 3D Release,"$350,449,521","$57,884,114",16.50%,"$292,565,407",83.50%
22,The Lorax,"$348,840,316","$214,030,500",61.40%,"$134,809,816",38.60%
23,Journey 2: The Mysterious Island,"$335,260,290","$103,860,290",31%,"$231,400,000",69%
24,The Expendables 2,"$314,975,955","$85,028,192",27%,"$229,947,763",73%
25,Rise of the Guardians,"$306,941,670","$103,412,758",33.70%,"$203,528,912",66.30%
26,Battleship,"$303,025,485","$65,422,625",21.60%,"$237,602,860",78.40%
27,Wrath of the Titans,"$301,970,083","$83,670,083",27.70%,"$218,300,000",72.30%
28,John Carter,"$284,139,100","$73,078,100",25.70%,"$211,061,000",74.30%
29,The Bourne Legacy,"$276,144,750","$113,203,870",41%,"$162,940,880",59%
30,Lincoln,"$275,293,450","$182,207,973",66.20%,"$93,085,477",33.80%
31,We're the Millers,"$269,994,119","$150,394,119",55.70%,"$119,600,000",44.30%
32,Dark Shadows,"$245,527,149","$79,727,149",32.50%,"$165,800,000",67.50%
33,Resident Evil: Retribution,"$240,159,255","$42,345,531",17.60%,"$197,813,724",82.40%
34,Silver Linings Playbook,"$236,412,453","$132,092,958",55.90%,"$104,319,495",44.10%
35,American Reunion,"$234,989,584","$57,011,521",24.30%,"$177,978,063",75.70%
36,Argo,"$232,325,503","$136,025,503",58.50%,"$96,300,000",41.50%
37,Jack Reacher,"$218,340,595","$80,070,736",36.70%,"$138,269,859",63.30%
38,Safe House,"$208,076,205","$126,373,434",60.70%,"$81,702,771",39.30%
39,21 Jump Street,"$201,585,328","$138,447,667",68.70%,"$63,137,661",31.30%
40,Total Recall,"$198,467,168","$58,877,969",29.70%,"$139,589,199",70.30%
41,The Impossible,"$198,087,212","$19,019,882",9.60%,"$179,067,330",90.40%
42,Lost in Thailand,"$197,757,387","$57,387",<0.1%,"$197,700,000",100%
43,The Vow,"$196,114,570","$125,014,030",63.70%,"$71,100,540",36.30%
44,Mirror Mirror,"$183,018,522","$64,935,167",35.50%,"$118,083,355",64.50%
45,The Dictator,"$179,379,533","$59,650,222",33.30%,"$119,729,311",66.70%
46,Looper,"$176,506,819","$66,486,205",37.70%,"$110,020,614",62.30%
47,Chinese Zodiac,"$170,525,083",-,-,"$170,525,083",100%
48,Magic Mike,"$167,221,571","$113,721,571",68%,"$53,500,000",32%
49,Flight,"$161,772,375","$93,772,375",58%,"$68,000,000",42%
50,Underworld: Awakening,"$160,112,671","$62,321,039",38.90%,"$97,791,632",61.10%
51,This Means War,"$156,491,279","$54,760,791",35%,"$101,730,488",65%
52,Paranormal Activity 4,"$142,802,657","$53,885,000",37.70%,"$88,917,657",62.30%
53,Step Up Revolution,"$140,470,746","$35,074,677",25%,"$105,396,069",75%
54,The Best Exotic Marigold Hotel,"$136,836,156","$46,412,041",33.90%,"$90,424,115",66.10%
55,The Wind Rises,"$136,454,220","$5,209,580",3.80%,"$131,244,640",96.20%
56,Last Vegas,"$134,402,450","$63,914,167",47.60%,"$70,488,283",52.40%
57,Zero Dark Thirty,"$132,820,716","$95,720,716",72.10%,"$37,100,000",27.90%
58,Ghost Rider: Spirit of Vengeance,"$132,563,930","$51,774,002",39.10%,"$80,789,928",60.90%
59,Cloud Atlas,"$130,482,868","$27,108,272",20.80%,"$103,374,596",79.20%
60,The Woman in Black,"$128,955,898","$54,333,290",42.10%,"$74,622,608",57.90%
61,Chronicle,"$126,636,097","$64,575,175",51%,"$62,060,922",49%
62,Walking with Dinosaurs 3D,"$126,546,518","$36,076,121",28.50%,"$90,470,397",71.50%
63,The Pirates! Band of Misfits,"$123,054,041","$31,051,126",25.20%,"$92,002,915",74.80%
64,Parental Guidance,"$119,772,232","$77,267,296",64.50%,"$42,504,936",35.50%
65,Abraham Lincoln: Vampire Hunter,"$116,471,580","$37,519,139",32.20%,"$78,952,441",67.80%
66,Pitch Perfect,"$115,350,426","$65,001,093",56.40%,"$50,349,333",43.60%
67,Hope Springs,"$114,281,051","$63,536,011",55.60%,"$50,745,040",44.40%
68,ParaNorman,"$107,139,399","$56,003,051",52.30%,"$51,136,348",47.70%
69,The Campaign,"$104,907,746","$86,907,746",82.80%,"$18,000,000",17.20%
70,Star Wars: Episode I - The Phantom Menace 2012 3D Release,"$102,739,593","$43,456,382",42.30%,"$59,283,211",57.70%
71,Project X,"$102,731,865","$54,731,865",53.30%,"$48,000,000",46.70%
72,The Devil Inside,"$101,758,490","$53,261,944",52.30%,"$48,496,546",47.70%
73,The Lucky One,"$99,357,138","$60,457,138",60.80%,"$38,900,000",39.20%
74,Contraband,"$96,262,212","$66,528,000",69.10%,"$29,734,212",30.90%
75,Think Like a Man,"$96,070,507","$91,547,205",95.30%,"$4,523,302",4.70%
76,Masquerade,"$94,268,432","$922,921",1%,"$93,345,511",99%
77,Brave Hearts: Umizaru,"$91,884,352",-,-,"$91,884,352",100%
78,This Is 40,"$88,215,156","$67,544,505",76.60%,"$20,670,651",23.40%
79,The Thieves,"$87,126,367","$685,839",0.80%,"$86,440,528",99.20%
80,The Possession,"$85,446,075","$49,130,154",57.50%,"$36,315,921",42.50%
81,What to Expect When You're Expecting,"$84,384,002","$41,152,203",48.80%,"$43,231,799",51.20%
82,Savages,"$82,966,152","$47,382,068",57.10%,"$35,584,084",42.90%
83,Sinister,"$82,515,113","$48,086,903",58.30%,"$34,428,210",41.70%
84,Act of Valor,"$82,497,035","$70,012,847",84.90%,"$12,484,188",15.10%
85,Frankenweenie,"$81,491,068","$35,291,068",43.30%,"$46,200,000",56.70%
